column,count,mean,median,std,min,max
Restaurant ID,9551,9051128.349178096,6004089.0,8791521.282104285,53.0,18500652.0
Country Code,9551,18.365616165846507,1.0,56.75054560094657,1.0,216.0
Longitude,9551,64.12657446168704,77.1919642,41.46705784761728,-157.948486,174.8320893
Latitude,9551,25.854380700074756,28.57046888,11.007935124784668,-41.330428,55.97698
Average Cost for two,9551,1199.2107632708617,400.0,16121.183073499646,0.0,800000.0
Price range,9551,1.804837189823055,2.0,0.905608847397614,1.0,4.0
Aggregate rating,9551,2.6663700136111403,3.2,1.5163775396521326,0.0,4.9
Votes,9551,156.909747670401,31.0,430.1691453762912,0.0,10934.0
